Factor 1,Factor 2,Cluster 1,Cluster 2,Distance
Automatización,Costos operativos,0,2,3.9560037004458617
Automatización,Datos,0,2,6.670313104497125
Automatización,Gobierno de datos,0,2,3.9472754523281623
Automatización,Ingresos,0,2,4.297735420061519
Automatización,Recursos,0,2,3.665217830493058
Automatización,Rediseño,0,2,5.396638347627049
Automatización,Reducción de costos,0,2,3.362914651580183
Automatización,Satisfacción del cliente,0,2,4.166046272942521
Automatización,Soporte técnico,0,2,2.868465510072688
Automatización,Ventas,0,2,5.642808739649889
Capacitación,Casos de negocio,0,2,2.31585625322758
Capacitación,Costos,0,2,4.346145829186386
Capacitación,Costos operativos,0,2,3.019439908994081
Capacitación,Datos,0,2,3.562576332651147
Capacitación,Gobierno de datos,0,2,2.5373311184124225
Capacitación,Ingresos,0,2,3.3764613240198824
Capacitación,Recursos,0,2,7.456633895009253
Capacitación,Rediseño,0,2,5.980185254178804
Capacitación,Reducción de costos,0,2,2.421588539318861
Capacitación,Satisfacción del cliente,0,2,2.604405946462998
Capacitación,Soporte técnico,0,2,2.0182209019469575
Capacitación,Ventas,0,2,3.3742900156378095
Clientes,Casos de negocio,0,2,3.980326044427603
Clientes,Costos,0,2,4.562265873069643
Clientes,Costos operativos,0,2,5.032101790160148
Clientes,Datos,0,2,4.095249944161267
Clientes,Gobierno de datos,0,2,4.511413470052019
Clientes,Ingresos,0,2,4.0410974764033245
Clientes,Recursos,0,2,6.4494891488634964
Clientes,Rediseño,0,2,5.091908956667854
Clientes,Reducción de costos,0,2,4.026504384581419
Clientes,Satisfacción del cliente,0,2,1.9789068320768926
Clientes,Soporte técnico,0,2,4.170806713680834
Clientes,Ventas,0,2,5.0441964930425645
Colaboración,Casos de negocio,0,2,2.3109059067748667
Colaboración,Costos,0,2,4.530332911967069
Colaboración,Costos operativos,0,2,3.766639790436215
Colaboración,Datos,0,2,3.550898922490375
Colaboración,Gobierno de datos,0,2,2.4699865756229613
Colaboración,Ingresos,0,2,2.9817611336798957
Colaboración,Recursos,0,2,3.9445117641118856
Colaboración,Rediseño,0,2,3.562717472727932
Colaboración,Reducción de costos,0,2,2.391950626886008
Colaboración,Satisfacción del cliente,0,2,2.494438026809721
Colaboración,Soporte técnico,0,2,2.4579055410186825
Colaboración,Ventas,0,2,3.8986851801190605
Competencias,Casos de negocio,0,2,2.563830403644331
Competencias,Costos,0,2,3.3181996881954117
Competencias,Costos operativos,0,2,3.1056276768569555
Competencias,Datos,0,2,3.338550151800537
Competencias,Gobierno de datos,0,2,3.234703974448426
Competencias,Ingresos,0,2,2.915849232633042
Competencias,Recursos,0,2,4.965290878904648
Competencias,Rediseño,0,2,4.0067329139886665
Competencias,Reducción de costos,0,2,3.3928380581430657
Competencias,Satisfacción del cliente,0,2,3.3759188618157077
Competencias,Soporte técnico,0,2,2.266264658511423
Competencias,Ventas,0,2,2.2835352971873903
Comunicación,Casos de negocio,0,2,2.2485421576920603
Comunicación,Costos,0,2,4.011642910987701
Comunicación,Costos operativos,0,2,3.080985047609846
Comunicación,Datos,0,2,3.8130486643386226
Comunicación,Gobierno de datos,0,2,2.3195524469944573
Comunicación,Ingresos,0,2,3.547423410596452
Comunicación,Recursos,0,2,5.25497065046342
Comunicación,Rediseño,0,2,3.750720372731588
Comunicación,Reducción de costos,0,2,2.3792312903556287
Comunicación,Satisfacción del cliente,0,2,2.77446060185486
Comunicación,Soporte técnico,0,2,1.8373281133616748
Comunicación,Ventas,0,2,3.6305376136403655
Conversiones,Casos de negocio,0,2,5.533287761175332
Conversiones,Costos,0,2,5.36530540284108
Conversiones,Costos operativos,0,2,4.388092559791601
Conversiones,Datos,0,2,5.331391285201177
Conversiones,Gobierno de datos,0,2,6.715519383977348
Conversiones,Ingresos,0,2,3.591216688412681
Conversiones,Recursos,0,2,3.876237023521316
Conversiones,Rediseño,0,2,8.4393284860081
Conversiones,Reducción de costos,0,2,4.910959395205529
Conversiones,Satisfacción del cliente,0,2,7.11633253824922
Conversiones,Soporte técnico,0,2,8.623247637510403
Conversiones,Ventas,0,2,3.8191638154699206
Cultura organizacional,Casos de negocio,0,2,2.962106365685064
Cultura organizacional,Costos,0,2,4.886986721617249
Cultura organizacional,Costos operativos,0,2,3.6686173194102945
Cultura organizacional,Datos,0,2,5.8361740424136945
Cultura organizacional,Gobierno de datos,0,2,4.855612298780391
Cultura organizacional,Ingresos,0,2,3.93510074448171
Cultura organizacional,Recursos,0,2,10.177912350587228
Cultura organizacional,Rediseño,0,2,7.275919152314673
Cultura organizacional,Reducción de costos,0,2,4.2161377732637
Cultura organizacional,Satisfacción del cliente,0,2,3.2084641851976863
Cultura organizacional,Soporte técnico,0,2,2.9889964578897477
Cultura organizacional,Ventas,0,2,4.917336137395092
Ejecución,Casos de negocio,0,2,2.1758384713220353
Ejecución,Costos,0,2,4.80937558914851
Ejecución,Costos operativos,0,2,2.660471174233805
Ejecución,Datos,0,2,4.173175777585756
Ejecución,Gobierno de datos,0,2,2.369430180474758
Ejecución,Ingresos,0,2,3.268409964636785
Ejecución,Recursos,0,2,5.220491095773773
Ejecución,Rediseño,0,2,5.819836937480751
Ejecución,Reducción de costos,0,2,2.6058043875804655
Ejecución,Satisfacción del cliente,0,2,2.9284255030368795
Ejecución,Soporte técnico,0,2,1.6794796971898107
Ejecución,Ventas,0,2,3.465690959138637
Innovación,Casos de negocio,0,2,2.217270564325292
Innovación,Costos,0,2,4.034414524150489
Innovación,Costos operativos,0,2,2.9702162751099856
Innovación,Datos,0,2,4.3908211990428185
Innovación,Gobierno de datos,0,2,2.739347472091802
Innovación,Ingresos,0,2,2.5711172311700246
Innovación,Recursos,0,2,7.158040369057108
Innovación,Rediseño,0,2,4.768683104317327
Innovación,Reducción de costos,0,2,2.6786500900013035
Innovación,Satisfacción del cliente,0,2,3.294068042269481
Innovación,Soporte técnico,0,2,2.2597371225208
Innovación,Ventas,0,2,3.3652724612081677
Inventarios,Casos de negocio,0,2,2.5651717803195098
Inventarios,Costos,0,2,3.8566885392329353
Inventarios,Costos operativos,0,2,3.2096352737375957
Inventarios,Datos,0,2,3.9621839653109205
Inventarios,Gobierno de datos,0,2,3.3284680007077654
Inventarios,Ingresos,0,2,2.285627405751411
Inventarios,Recursos,0,2,4.424750567960983
Inventarios,Rediseño,0,2,3.2471760122015887
Inventarios,Reducción de costos,0,2,3.1775141810869143
Inventarios,Satisfacción del cliente,0,2,3.818546635184531
Inventarios,Soporte técnico,0,2,2.6850277455999576
Inventarios,Ventas,0,2,3.6092620160002196
Liderazgo,Casos de negocio,0,2,3.2998304844081856
Liderazgo,Costos,0,2,3.5664851682364556
Liderazgo,Costos operativos,0,2,3.497088219435851
Liderazgo,Datos,0,2,3.4576941439938746
Liderazgo,Gobierno de datos,0,2,3.4179609060467486
Liderazgo,Ingresos,0,2,4.381518247774769
Liderazgo,Recursos,0,2,5.43876739256626
Liderazgo,Rediseño,0,2,4.050110887986002
Liderazgo,Reducción de costos,0,2,3.3888857560522787
Liderazgo,Satisfacción del cliente,0,2,4.082355313265046
Liderazgo,Soporte técnico,0,2,3.4103955404030923
Liderazgo,Ventas,0,2,2.6145397168192033
Marca,Casos de negocio,0,2,3.819610199612065
Marca,Costos,0,2,3.8784444319558538
Marca,Costos operativos,0,2,4.672026321822535
Marca,Datos,0,2,4.786044659539927
Marca,Gobierno de datos,0,2,5.679078026670314
Marca,Ingresos,0,2,3.0718210185052643
Marca,Recursos,0,2,9.350527332339434
Marca,Rediseño,0,2,4.5159265439388365
Marca,Reducción de costos,0,2,4.18060025894638
Marca,Satisfacción del cliente,0,2,2.8514865669176745
Marca,Soporte técnico,0,2,3.6225478973282987
Marca,Ventas,0,2,2.564613777115469
Mejorar eficiencia,Casos de negocio,0,2,2.5244779695118793
Mejorar eficiencia,Costos,0,2,6.352660986752478
Mejorar eficiencia,Costos operativos,0,2,3.3736825769536996
Mejorar eficiencia,Datos,0,2,5.838989854755127
Mejorar eficiencia,Gobierno de datos,0,2,3.09363843373046
Mejorar eficiencia,Ingresos,0,2,2.9564570055761736
Mejorar eficiencia,Recursos,0,2,8.779746879897452
Mejorar eficiencia,Rediseño,0,2,5.475765139614489
Mejorar eficiencia,Reducción de costos,0,2,3.5197987801433372
Mejorar eficiencia,Satisfacción del cliente,0,2,3.24197133902818
Mejorar eficiencia,Soporte técnico,0,2,2.1787797743873543
Mejorar eficiencia,Ventas,0,2,4.232438227669878
Optimización,Casos de negocio,0,2,2.8075885975291985
Optimización,Costos,0,2,3.2126542596100927
Optimización,Costos operativos,0,2,2.2183061723925586
Optimización,Datos,0,2,5.407183053369221
Optimización,Gobierno de datos,0,2,3.3053065374335886
Optimización,Ingresos,0,2,3.5728589910460578
Optimización,Recursos,0,2,4.164689480335877
Optimización,Rediseño,0,2,4.038206929514632
Optimización,Reducción de costos,0,2,2.035590881652069
Optimización,Satisfacción del cliente,0,2,3.62639355958306
Optimización,Soporte técnico,0,2,2.6773550965890656
Optimización,Ventas,0,2,3.941630755125795
Partes interesadas,Casos de negocio,0,2,2.9812683925626895
Partes interesadas,Costos,0,2,4.184539882640395
Partes interesadas,Costos operativos,0,2,3.3140107725896977
Partes interesadas,Datos,0,2,3.814760130934775
Partes interesadas,Gobierno de datos,0,2,2.8754884736044537
Partes interesadas,Ingresos,0,2,2.2088356961985056
Partes interesadas,Recursos,0,2,5.242047067606733
Partes interesadas,Rediseño,0,2,9.190304743153039
Partes interesadas,Reducción de costos,0,2,3.164790515553236
Partes interesadas,Satisfacción del cliente,0,2,2.623688205091608
Partes interesadas,Soporte técnico,0,2,3.3619290049349084
Partes interesadas,Ventas,0,2,3.3904741239014866
Personalización,Casos de negocio,0,2,3.038922519631439
Personalización,Costos,0,2,5.499709065390441
